check_date,check_no,payee_name,title,description,amount,purpose
2012-01-23,C1202660,Ron Galatolo,Chancellor,MCCORMICK SCHMICKS SAN JOSE,106.17,lunch with P.Bunton to learn about lease leaseback delivery method
2012-01-24,C1202660,Ron Galatolo,Chancellor,CENTRAL PARK BRIST SAN MATEO,86.45,lunch with HR director and B Christensen to discuss staffing issues
2012-01-13,C1202660,Ron Galatolo,Chancellor,SHUSHI KUU BELMONT,81.01,lunch with Peralta CC general counsel Thuy Nguyen 
2012-01-04,C1202660,Ron Galatolo,Chancellor,MCCORMICK SCHMICK 90 SACRAMENTO,67.9,lunch  following Jerry Hill visit in Sacramento
2012-01-06,C1202660,Ron Galatolo,Chancellor,CALIFORNIA PIZZA 052 SAN MATEO,65.25,lunch Christensen and Dave Dempsey re PIO position
2012-03-18,C1203066,Ron Galatolo,Chancellor,AHWAHNEE LODGING,466.2,hotel accomodations for annual CCC CEO conference
2012-03-18,C1203066,Ron Galatolo,Chancellor,VINEYARD 76 SALIDA SALIDA,100,gas for trip to CEO conference (Ron is president-elect)
2012-04-25,C1203279,Ron Galatolo,Chancellor,HYATT HOTELS MONTEREY MONTEREY,534.5,"two night stay for annual County ""Progress Seminar"""
2012-05-25,C1203494,Ron Galatolo,Chancellor,WYNN LAS VEGAS HOTEL LAS VEGAS,129.92,deposit (on hotel receipt) for 7/30 CSEA Convention lodging
2012-05-15,C1203494,Ron Galatolo,Chancellor,THE CHEESECAKE FACTOR-HD SAN MATEO,100.2,"lunch with Keller, Luan re International Education program"
2012-05-22,C1203494,Ron Galatolo,Chancellor,WEST COAST CAFE SAN BRUNO,89.7,lunch with AFT representatives re negotiations
2012-06-19,C1203723,Ron Galatolo,Chancellor,VIVACE BELMONT,76.71,lunch with HR director re negotiations
2012-06-01,C1203723,Ron Galatolo,Chancellor,THE CHEESECAKE FACTOR-HD SAN MATEO,70.12,lunch with staff members re reclassification of positions
2012-07-17,C1300018,Ron Galatolo,Chancellor,KINGFISH RESTAURANT SAN MATEO,117.65,lunch with athletic directors re Fitness Centers
2012-09-11,C1300397,Ron Galatolo,Chancellor,TOWN SAN CARLOS,95.32,"lunch with Brian Bothman, Andrew Rowley and Diana re Nueva School build out"
2012-09-24,C1300397,Ron Galatolo,Chancellor,HYATT HOTELS SACRAMENTO SACRAMENTO,122.84,lodging for statewide CEO meeting (Ron is president-elect)
2012-09-25,C1300613,Ron Galatolo,Chancellor,BUCKS RESTAURANT WOODSIDE,73.7,lunch with Christensen and Rich re legislative priorities
2012-10-03,C1300613,Ron Galatolo,Chancellor,TOWN SAN CARLOS,71.54,lunch with Lucy Carter and Jaye re International Ed programs
2012-10-23,C1300613,Ron Galatolo,Chancellor,MARIO'S PLACE RIVERSIDE,111.32,lunch with prospective job candidate at ACBO (Association of  Chief Business Officials)meeting
2012-11-15,C1300833,Ron Galatolo,Chancellor,MILLENNIUM BILTMORE HOTEL LOS ANGEL,229.95,Statewide CEO meeting  CCLC (Ron is president-elect)
2012-12-04,C1301041,Ron Galatolo,Chancellor,FOUR POINTS BY SHERATON T TEMPE,114.12,lodging for student learning conference 
2012-12-20,C1301041,Ron Galatolo,Chancellor,WALGREENS #7087 MENLO PARK,84,holiday candy for District Office staff
2013-01-22,C1301248,Ron Galatolo,Chancellor,VIVACE BELMONT,100.63,lunch with Warren  and staff
2013-03-14,C1301833,Ron Galatolo,Chancellor,AHWAHNEE LODGING,469.53,two night stay for annual CCC CEO conference
2013-03-13,C1301833,Ron Galatolo,Chancellor,KINCAIDS BURLINGAME,73.31,Lunch with Florence Fang re International education
2013-03-21,C1301833,Ron Galatolo,Chancellor,SHIKI JAPANESE RESTAURANT SAN MATEO,63.3,lunch with General contractor re building issues 
2013-04-01,C1302043,Ron Galatolo,Chancellor,APPLE STORE #R231 SAN MATEO,710.94,Ipad replacement for Trustee Milanich
2013-04-13,C1302043,Ron Galatolo,Chancellor,HYATT HOTELS MONTEREY MONTEREY,446.5,"two night stay for annual County ""Progress Seminar"""
2013-04-28,C1302256,Ron Galatolo,Chancellor,STAPLES00113795 MENLO PARK,135.15,Toner for office printer
2013-04-30,C1302256,Ron Galatolo,Chancellor,TOWN SAN CARLOS,83.07,Lunch with Executive Vice Chancellor and Christensen re budget planning
2013-05-07,C1302256,Ron Galatolo,Chancellor,SHIKI JAPANESE RESTAURANT SAN MATEO,86.15,"Lunch with Tony Kim, Jim Keller re assessment tools"
2013-05-17,C1302256,Ron Galatolo,Chancellor,76 SACRAMENTO,81,Fuel for District vehicle to Sacramento meeting
2013-05-23,C1302256,Ron Galatolo,Chancellor,WYNN LAS VEGAS HOTEL,351.96,CSEA Union annual conference lodging deposit
2013-05-27,C1302256,Ron Galatolo,Chancellor,WYNN LAS VEGAS HOTEL,406.18,CSEA Union annual conference lodging deposit
2013-07-02,C1400134,Ron Galatolo,Chancellor,VIVACE,135.36,"Lunch with John De Luca, Buckley and Christensen re University Center at Canada"
2013-07-28,C1400324,Ron Galatolo,Chancellor,MON AMI GABI VEGAS LAS VEGAS,978.27,CSEA team building dinner with CSEA officers and 2 trustees at annual conference
2013-07-30,C1400324,Ron Galatolo,Chancellor,WYNN LAS VEGAS HOTEL,280.28,CSEA annual conference lodging balance
2013-08-16,C1400324,Ron Galatolo,Chancellor,PEPBOYS STORE 873 SAN JOSE,207.36,New tire for District vehicle
2013-08-31,C1400528,Ron Galatolo,Chancellor,APPLE STORE #R099 PALO ALTO,75.14,Ipad cover
2013-09-09,C1400528,Ron Galatolo,Chancellor,THE CHEESECAKE FACTORY-HD SAN MATEO,109.56,"Lunch with Ginny, Jan and Anaelisa re Opening Day ceremonies"
2013-09-18,C1400528,Ron Galatolo,Chancellor,OPA AUTHENTIC GREEK CUISI 650äóê20953,72.82,"Lunch with Keller, Christensen and Rich Gordon re legislative priorities"
2013-10-29,C1400963,Ron Galatolo,Chancellor,THE CHEESECAKE FACTORY-HD SAN MATEO,65.26,Lunch with David Feune re benefit changes
2013-11-15,C1400963,Ron Galatolo,Chancellor,THE LITTLE STORE WOODSIDE,66.39,"Lunch with Amy Tan, guest speaker at Canada"
2013-11-27,C1401165,Ron Galatolo,Chancellor,THE VILLAGE PUB WOODSIDE,92.21,"Lunch with Joe Montana, Sr. and Rosendin Electric re athletic field replacement"
2013-12-17,C1401165,Ron Galatolo,Chancellor,CALIFORNIA PIZZA 052 SAN MATEO,600,Holiday food for District staff
2013-12-17,C1401165,Ron Galatolo,Chancellor,COST PLUS WLD #11 SAN MATEO,231.24,Holiday gifts for staff
2013-12-18,C1401165,Ron Galatolo,Chancellor,SHALIZAAR RESTAURANT INC BELMONT,213.87,Lunch with 3 contractors and 2 staff to discuss field turf options
2014-01-08,C1401374,Ron Galatolo,Chancellor,SHIKI JAPANESE RESTAURANT SAN MATEO,56.16,Lunch with Joe Montana Sr to discuss Hellas field turf
2014-01-21,C1401374,Ron Galatolo,Chancellor,THE CHEESECAKE FACTORY-HD SAN MATEO,45.83,Lunch with Trustee Dave Mandlekern
2014-01-28,C1401585,Ron Galatolo,Chancellor,SHIKI JAPANESE RESTAURANT SAN MATEO,56.87,Lunch with Piper Jaffrey reps re bond financing and fund management
2014-03-03,C1401808,Ron Galatolo,Chancellor,HILTON SAN DIEGO RESORT SAN DIEGO,658.06,CEO conference lodging; $260 reimbursed by CCLC
2014-03-07,C1401808,Ron Galatolo,Chancellor,THE CHEESECAKE FACTORY-HD SAN MATEO,64.35,Lunch with Trustee Tom Mohr re staffing
2014-04-04,C1402031,Ron Galatolo,Chancellor,76 SACRAMENTO,108.75,Fuel for District vehicle to Phi Theta awards luncheon in Sacramento
2014-04-07,C1402031,Ron Galatolo,Chancellor,IL FORNAIO äóê BURLINGAM BURLINGAME,64.71,Lunch with prospective Foundation Board member
2014-04-13,C1402031,Ron Galatolo,Chancellor,HYATT HOTELS MONTEREY MONTEREY,507.24,"lodging for annual County ""Progress Seminar"""
2014-04-15,C1402031,Ron Galatolo,Chancellor,BUCKS RESTAURANT WOODSIDE,54.78,Lunch with Canada President re staffing
2014-04-25,C1402254,Ron Galatolo,Chancellor,PAUL MARTINS SNM SAN MATEO,135.95,Lunch with East Palo Alto educators and activists re early college high school
2014-05-05,C1402254,Ron Galatolo,Chancellor,LEFT BANK MENLO PA MENLO PARK,49.64,Lunch with Ann Blackwood (Facebook) re early collelge high school
2014-05-20,C1402254,Ron Galatolo,Chancellor,THE REFUGE SAN CARLOS,85.29,Lunch with Trustee Karen Schwarz
2014-06-20,C1402453,Ron Galatolo,Chancellor,TOWN SAN CARLOS,46.7,Lunch with Trustee Pat Miljanich
2014-06-23,C1402453,Ron Galatolo,Chancellor,PAUL MARTINS SNM SAN MATEO,135.29,"Lunch with SM City Manager Larry Patterson, Christensen and Claire"
2014-06-25,C1402558,Ron Galatolo,Chancellor,SHIKI JAPANESE RESTAURANT SAN MATEO,52.74,Lunch with Piper Jaffrey re bond financing
2014-06-26,C1402558,Ron Galatolo,Chancellor,VIVACE BELMONT,357.84,End of fiscal year lunch meeting with executive staff
2014-07-03,C1500131,Ron Galatolo,Chancellor,THE COUNTER SAN MATEO,50.7,lunch with Keller
2014-08-26,C1500533,Ron Galatolo,Chancellor,VIVACE BELMONT,60.14,Lunch with East Palo Alto educators and Legislative Aide Mario Renden re early college high school
2014-09-10,C1500533,Ron Galatolo,Chancellor,THE CHEESECAKE FACTORY-HD SAN MATEO,110.79,"lunch Keller, Blackwood and Lindsey Maas re mentoring program"
2014-10-09,C1500755,Ron Galatolo,Chancellor,MILLS PENINSULA HLTH SVCS 650äóê65238,242.91,Immunizations for China trip
2014-10-20,C1500755,Ron Galatolo,Chancellor,HYATT HOTELS SACRAMENTO SACRAMENTO,239.87,lodging for CEO Meeting (Ron is presidentäóêelect); also includes a lunch
2014-10-24,C1500755,Ron Galatolo,Chancellor,RENAISSANCE RIVERSIDE SG HO CHI MIN,668.54,lodging for three nights plus international student partners lunch
2014-10-24,C1500755,Ron Galatolo,Chancellor,THE CHEESECAKE FACTORY-HD SAN MATEO,50,lunch with Gus Petropolus Foundation Board member re foundation business
